Name,Position,link,Active
James Adkisson,WR,pro-football-reference.com/players/A/AdkiJa00.htm,no
Daniel Adongo,LB,pro-football-reference.com/players/A/AdonDa00.htm,no
Al Afalava,DB,pro-football-reference.com/players/A/AfalAl99.htm,no
Erik Affholter,WR,pro-football-reference.com/players/A/AffhEr00.htm,no
Dick Afflis,T-DG-G,pro-football-reference.com/players/A/AfflDi20.htm,no
Ben Agajanian,K,pro-football-reference.com/players/A/AgajBe20.htm,no
Alex Agase,LB-G,pro-football-reference.com/players/A/AgasAl20.htm,no
Louis Age,T,pro-football-reference.com/players/A/AgexLo20.htm,no
Mel Agee,DE-DT,pro-football-reference.com/players/A/AgeeMe20.htm,no
Sam Agee,FB,pro-football-reference.com/players/A/AgeeSa20.htm,no
Tommie Agee,RB,pro-football-reference.com/players/A/AgeeTo00.htm,no
Nelson Agholor,WR,pro-football-reference.com/players/A/AghoNe00.htm,yes
Bob Agler,HB-DB-FB-LB,pro-football-reference.com/players/A/AgleBo20.htm,no
Jamal Agnew,CB,pro-football-reference.com/players/A/AgneJa00.htm,yes
Ray Agnew,DT-DE,pro-football-reference.com/players/A/AgneRa20.htm,no
Ray Agnew,FB,pro-football-reference.com/players/A/AgneRa00.htm,no
Vince Agnew,CB,pro-football-reference.com/players/A/AgneVi00.htm,no
Roberto Aguayo,K,pro-football-reference.com/players/A/AguaRo00.htm,no
Louie Aguiar,P,pro-football-reference.com/players/A/aguialou01.htm,no
Joe Aguirre,E,pro-football-reference.com/players/A/AguiJo20.htm,no
C.J. Ah You,DE,pro-football-reference.com/players/A/AhYoC.00.htm,no
Chidi Ahanotu,DE-DT,pro-football-reference.com/players/A/AhanCh20.htm,no
Dan Ahern,T,pro-football-reference.com/players/A/AherDa20.htm,no
Dave Ahrens,LB,pro-football-reference.com/players/A/AhreDa20.htm,no
Tony Aiello,WB-BB,pro-football-reference.com/players/A/AielTo20.htm,no
Danny Aiken,LS,pro-football-reference.com/players/A/AikeDa00.htm,no
Kamar Aiken,WR,pro-football-reference.com/players/A/AikeKa00.htm,no
Sam Aiken,WR,pro-football-reference.com/players/A/AikeSa00.htm,no
Carl Aikens,WR,pro-football-reference.com/players/A/AikeCa20.htm,no
Walt Aikens,CB,pro-football-reference.com/players/A/AikeWa00.htm,yes
Troy Aikman,QB,pro-football-reference.com/players/A/AikmTr00.htm,no
Jim Ailinger,G,pro-football-reference.com/players/A/AiliJi20.htm,no
Charles Aiu,G,pro-football-reference.com/players/A/AiuxCh20.htm,no
Victor Aiyewa,LB,pro-football-reference.com/players/A/AiyeVi00.htm,no
Jay Ajayi,RB,pro-football-reference.com/players/A/AjayJa00.htm,no
Seyi Ajirotutu,WR,pro-football-reference.com/players/A/AjirSe00.htm,no
Hakim Akbar,LB,pro-football-reference.com/players/A/AkbaHa20.htm,no
David Akers,K,pro-football-reference.com/players/A/akersdav01.htm,no
Harold Akin,T,pro-football-reference.com/players/A/AkinHa20.htm,no
Len Akin,G-LB,pro-football-reference.com/players/A/AkinLe20.htm,no
Al Akins,HB-DB,pro-football-reference.com/players/A/AkinAl20.htm,no
Chris Akins,DB,pro-football-reference.com/players/A/AkinCh20.htm,no
Frank Akins,FB,pro-football-reference.com/players/A/AkinFr00.htm,no
Jordan Akins,TE,pro-football-reference.com/players/A/AkinJo00.htm,yes
Mike Akiu,WR,pro-football-reference.com/players/A/AkiuMi20.htm,no
Azeez Al-Shaair,LB,pro-football-reference.com/players/A/AlShAz00.htm,yes
Anthony Alabi,T,pro-football-reference.com/players/A/AlabAn20.htm,no
Ikaika Alama-Francis,DE,pro-football-reference.com/players/A/AlamIk99.htm,no
Dick Alban,DB,pro-football-reference.com/players/A/AlbaDi00.htm,no
Dom Albanese,BB-E-FB,pro-football-reference.com/players/A/AlbaDo20.htm,no
Vannie Albanese,FB-DB-BB-LB,pro-football-reference.com/players/A/AlbaVa20.htm,no
Tom Alberghini,G,pro-football-reference.com/players/A/AlbeTo20.htm,no
Branden Albert,G,pro-football-reference.com/players/A/AlbeBr20.htm,no
Frankie Albert,QB-DB,pro-football-reference.com/players/A/AlbeFr00.htm,no
Sergio Albert,K,pro-football-reference.com/players/A/AlbeSe20.htm,no
Trev Alberts,LB,pro-football-reference.com/players/A/AlbeTr20.htm,no
Art Albrecht,T-C-LB,pro-football-reference.com/players/A/AlbrAr20.htm,no
Ted Albrecht,T-G,pro-football-reference.com/players/A/AlbrTe20.htm,no
Alex Albright,LB,pro-football-reference.com/players/A/AlbrAl00.htm,no
Bill Albright,G-T-DT,pro-football-reference.com/players/A/AlbrBi20.htm,no
Bryson Albright,LB,pro-football-reference.com/players/A/AlbrBr00.htm,no
Ethan Albright,G-C-T,pro-football-reference.com/players/A/AlbrEt20.htm,no
Ira Albright,NT-RB,pro-football-reference.com/players/A/AlbrIr20.htm,no
Vince Albritton,DB,pro-football-reference.com/players/A/AlbrVi20.htm,no
Zac Alcorn,TE,pro-football-reference.com/players/A/AlcoZa20.htm,no
Grady Alderman,T-G,pro-football-reference.com/players/A/AldeGr00.htm,no
John Alderton,DE,pro-football-reference.com/players/A/AldeJo20.htm,no
Ki Aldrich,C-LB-G,pro-football-reference.com/players/A/AldrKi20.htm,no
Allen Aldridge,DE,pro-football-reference.com/players/A/AldrAl20.htm,no
Allen Aldridge,LB,pro-football-reference.com/players/A/AldrAl21.htm,no
Bennie Aldridge,DB-HB,pro-football-reference.com/players/A/AldrBe00.htm,no
Jerry Aldridge,RB,pro-football-reference.com/players/A/AldrJe20.htm,no
Kevin Aldridge,DE,pro-football-reference.com/players/A/AldrKe20.htm,no
Lionel Aldridge,DE,pro-football-reference.com/players/A/AldrLi20.htm,no
Melvin Aldridge,DB,pro-football-reference.com/players/A/AldrMe20.htm,no
Arnold Ale,LB,pro-football-reference.com/players/A/AlexAr20.htm,no
Ink Aleaga,LB,pro-football-reference.com/players/A/AleaIn20.htm,no
Chas Alecxih,DT,pro-football-reference.com/players/A/AlecCh00.htm,no
Keith Alex,G,pro-football-reference.com/players/A/AlexKe20.htm,no
Steve Alexakos,G,pro-football-reference.com/players/A/AlexSt20.htm,no
Adonis Alexander,Unassigned,pro-football-reference.com/players/A/AlexAd00.htm,yes
Alvester Alexander,RB,pro-football-reference.com/players/A/AlexAl00.htm,no
Brent Alexander,DB,pro-football-reference.com/players/A/AlexBr20.htm,no
